DATAI,DATAF
2023-03-03 14:47:25.743,2023-03-04 10:13:51.503
2023-03-13 15:15:55.573,2023-03-13 15:18:41.450
2023-03-15 11:31:57.980,2023-03-15 12:01:11.867
2023-03-22 15:11:38.433,2023-03-22 15:12:15.240
2023-05-09 09:03:44.713,2023-05-12 11:55:55.363
2023-05-09 12:38:45.017,2023-05-09 12:39:52.200
2023-05-15 10:12:40.163,2023-05-15 10:27:07.880
2023-05-18 17:06:21.123,2023-05-18 17:17:02.907
2023-05-30 18:55:59.890,2023-05-30 18:55:59.890
2023-06-01 06:10:53.157,2023-06-01 06:11:05.633
2023-06-02 16:04:51.113,2023-06-02 16:04:51.113
2023-07-14 08:28:47.640,2023-07-14 08:31:34.370
2023-07-14 08:40:17.680,2023-07-14 08:42:56.347
2023-07-17 10:35:42.557,2023-07-17 10:36:13.650
2023-07-27 11:05:39.860,2023-07-27 11:05:39.860
2023-07-31 06:34:24.023,2023-07-31 06:36:27.363
2023-08-11 06:20:22.987,2023-08-11 06:22:15.110
2023-08-31 06:57:05.633,2023-08-31 06:57:27.517
2023-09-20 05:57:50.750,2023-09-20 11:36:14.327
2023-09-20 11:24:12.057,2023-09-20 13:01:19.977
2023-10-11 19:19:10.003,2023-12-29 07:45:40.217
2023-10-12 19:05:22.037,2023-12-04 17:52:41.070
2023-10-16 08:35:13.360,2023-10-18 12:15:57.870
2023-10-16 08:46:38.047,2023-10-16 09:22:12.047
2023-11-01 16:14:52.503,2023-11-01 16:17:47.310
2023-11-13 14:29:18.320,2023-11-13 19:37:24.860
2023-11-14 06:49:47.790,2023-11-14 06:49:47.790
2023-11-14 07:20:44.627,2023-11-14 11:34:51.323
2023-12-05 16:23:41.847,2023-12-05 16:23:41.847
2023-12-13 12:59:26.960,2023-12-13 13:01:50.413
2023-12-14 06:18:33.350,2023-12-14 06:26:24.997
2024-01-02 14:52:24.353,2024-01-02 14:59:26.173
2024-01-18 12:22:12.120,2024-01-22 07:08:50.843
2024-01-22 14:51:33.280,2024-01-22 15:13:42.983
2024-01-26 06:12:48.890,2024-03-07 08:59:46.957
2024-01-29 09:36:10.663,2024-01-29 09:39:21.903
2024-02-08 08:40:54.607,2024-02-08 09:13:58.090
2024-02-23 13:20:08.000,2024-06-14 10:01:44.427
2024-02-26 07:54:23.163,2024-02-26 08:06:49.610
2024-04-15 08:06:55.157,2024-04-17 08:05:56.910
2024-04-17 07:25:09.580,2024-04-22 06:34:30.343
2024-04-17 07:26:07.077,2024-05-03 12:15:18.757
2024-04-23 21:31:39.200,2024-04-23 21:31:39.200
2024-04-29 06:30:58.913,2024-04-29 06:32:33.600
2024-05-07 13:48:43.537,2024-07-17 12:13:11.510
2024-07-08 20:38:10.710,2024-07-08 21:42:04.170
2024-07-15 17:19:23.437,2024-07-15 17:50:58.590
2024-07-17 06:22:20.907,2024-07-18 06:49:52.723
2024-07-17 14:54:03.340,2024-07-17 15:19:27.060
2024-07-24 16:53:52.067,2024-07-24 16:57:02.603
2024-07-29 10:31:48.997,2024-07-29 11:39:38.113
2024-08-03 10:49:19.400,2024-08-03 10:54:12.857
2024-08-05 15:44:34.393,2024-08-05 15:47:41.977
2024-08-09 08:30:36.630,2024-08-09 09:06:04.563
2024-08-09 10:15:13.527,2024-08-09 10:15:13.527
2024-08-20 14:09:13.753,2024-08-20 14:22:29.260
2024-08-27 14:37:09.783,2024-08-27 16:57:27.077
2024-08-30 13:47:20.560,2024-08-30 14:18:49.577
2024-09-04 13:15:19.157,2024-09-04 14:25:44.213
2024-09-09 09:28:37.280,2024-09-09 10:56:42.670
2024-09-16 18:52:32.573,2024-09-16 21:45:53.653
2024-09-16 18:53:36.267,2024-09-16 21:49:06.753
